audio_file,image_file,category
audio/umass_tree7_robot_trunk2_segment_0_window_0_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_0_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_1_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_1_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_2_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_2_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_3_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_3_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_4_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_4_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_5_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_5_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_6_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_6_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_7_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_7_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_8_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_8_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_9_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_9_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_10_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_10_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_11_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_11_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_12_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_12_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_13_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_13_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_14_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_14_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_15_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_15_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_16_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_16_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_17_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_17_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_18_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_18_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_19_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_19_contact.jpg,trunk
audio/umass_tree7_robot_trunk2_segment_0_window_20_contact.wav,images/umass_tree7_robot_trunk2_segment_0_window_20_contact.jpg,trunk
